stt,H,W
902,109.02,22.49
903,109.03,22.52
904,109.04,22.55
905,109.05,22.57
906,109.06,22.60
907,109.07,22.62
908,109.08,22.65
909,109.09,22.67
910,109.10,22.70
911,109.11,22.72
912,109.12,22.75
913,109.13,22.77
914,109.14,22.80
915,109.15,22.83
916,109.16,22.85
917,109.17,22.88
918,109.18,22.90
919,109.19,22.93
920,109.20,22.95
921,109.21,22.98
922,109.22,23.00
923,109.23,23.03
924,109.24,23.06
925,109.25,23.08
926,109.26,23.11
927,109.27,23.13
928,109.28,23.16
929,109.29,23.18
930,109.30,23.21
931,109.31,23.23
932,109.32,23.26
933,109.33,23.28
934,109.34,23.31
935,109.35,23.34
936,109.36,23.36
937,109.37,23.39
938,109.38,23.41
939,109.39,23.44
940,109.40,23.46
941,109.41,23.49
942,109.42,23.51
943,109.43,23.54
944,109.44,23.56
945,109.45,23.59
946,109.46,23.62
947,109.47,23.64
948,109.48,23.67
949,109.49,23.69
950,109.50,23.72
951,109.51,23.74
952,109.52,23.77
953,109.53,23.79
954,109.54,23.82
955,109.55,23.84
956,109.56,23.87
957,109.57,23.90
958,109.58,23.92
959,109.59,23.95
960,109.60,23.97
961,109.61,24.00
962,109.62,24.02
963,109.63,24.05
964,109.64,24.07
965,109.65,24.10
966,109.66,24.12
967,109.67,24.15
968,109.68,24.18
969,109.69,24.20
970,109.70,24.23
971,109.71,24.25
972,109.72,24.28
973,109.73,24.30
974,109.74,24.33
975,109.75,24.35
976,109.76,24.38
977,109.77,24.40
978,109.78,24.43
979,109.79,24.46
980,109.80,24.48
981,109.81,24.51
982,109.82,24.53
983,109.83,24.56
984,109.84,24.58
985,109.85,24.61
986,109.86,24.63
987,109.87,24.66
988,109.88,24.68
989,109.89,24.71
990,109.90,24.74
991,109.91,24.76
992,109.92,24.79
993,109.93,24.81
994,109.94,24.84
995,109.95,24.86
996,109.96,24.89
997,109.97,24.91
998,109.98,24.94
999,109.99,24.96
1000,110.00,24.99
1001,110.01,25.03
1002,110.02,25.06
1003,110.03,25.10
1004,110.04,25.14
1005,110.05,25.17
1006,110.06,25.21
1007,110.07,25.25
1008,110.08,25.28
1009,110.09,25.32
1010,110.10,25.35
1011,110.11,25.39
1012,110.12,25.43
1013,110.13,25.46
1014,110.14,25.50
1015,110.15,25.54
1016,110.16,25.57
1017,110.17,25.61
1018,110.18,25.65
1019,110.19,25.68
1020,110.20,25.72
1021,110.21,25.76
1022,110.22,25.79
1023,110.23,25.83
1024,110.24,25.86
1025,110.25,25.90
1026,110.26,25.94
1027,110.27,25.97
1028,110.28,26.01
1029,110.29,26.05
1030,110.30,26.08
1031,110.31,26.12
1032,110.32,26.16
1033,110.33,26.19
1034,110.34,26.23
1035,110.35,26.27
1036,110.36,26.30
1037,110.37,26.34
1038,110.38,26.37
1039,110.39,26.41
1040,110.40,26.45
1041,110.41,26.48
1042,110.42,26.52
1043,110.43,26.56
1044,110.44,26.59
1045,110.45,26.63
1046,110.46,26.67
1047,110.47,26.70
1048,110.48,26.74
1049,110.49,26.78
1050,110.50,26.81
1051,110.51,26.85
1052,110.52,26.88
1053,110.53,26.92
1054,110.54,26.96
1055,110.55,26.99
1056,110.56,27.03
1057,110.57,27.07
1058,110.58,27.10
1059,110.59,27.14
1060,110.60,27.18
1061,110.61,27.21
1062,110.62,27.25
1063,110.63,27.29
1064,110.64,27.32
1065,110.65,27.36
1066,110.66,27.40
1067,110.67,27.43
1068,110.68,27.47
1069,110.69,27.50
1070,110.70,27.54
1071,110.71,27.58
1072,110.72,27.61
1073,110.73,27.65
1074,110.74,27.69
1075,110.75,27.72
1076,110.76,27.76
1077,110.77,27.80
1078,110.78,27.83
1079,110.79,27.87
1080,110.80,27.91
1081,110.81,27.94
1082,110.82,27.98
1083,110.83,28.01
1084,110.84,28.05
1085,110.85,28.09
1086,110.86,28.12
1087,110.87,28.16
1088,110.88,28.20
1089,110.89,28.23
1090,110.90,28.27
1091,110.91,28.31
1092,110.92,28.34
1093,110.93,28.38
1094,110.94,28.42
1095,110.95,28.45
1096,110.96,28.49
1097,110.97,28.52
1098,110.98,28.56
1099,110.99,28.60
1100,111.00,28.63
1101,111.01,28.67
1102,111.02,28.71
1103,111.03,28.74
1104,111.04,28.78
1105,111.05,28.82
1106,111.06,28.85
1107,111.07,28.89
1108,111.08,28.93
1109,111.09,28.96
1110,111.10,29.00
1111,111.11,29.03
1112,111.12,29.07
1113,111.13,29.11
1114,111.14,29.14
1115,111.15,29.18
1116,111.16,29.22
1117,111.17,29.25
1118,111.18,29.29
1119,111.19,29.33
1120,111.20,29.36
1121,111.21,29.40
1122,111.22,29.44
1123,111.23,29.47
1124,111.24,29.51
1125,111.25,29.54
1126,111.26,29.58
1127,111.27,29.62
1128,111.28,29.65
1129,111.29,29.69
1130,111.30,29.73
1131,111.31,29.76
1132,111.32,29.80
1133,111.33,29.84
1134,111.34,29.87
1135,111.35,29.91
1136,111.36,29.95
1137,111.37,29.98
1138,111.38,30.02
1139,111.39,30.06
1140,111.40,30.09
1141,111.41,30.13
1142,111.42,30.16
1143,111.43,30.20
1144,111.44,30.24
1145,111.45,30.27
1146,111.46,30.31
1147,111.47,30.35
1148,111.48,30.38
1149,111.49,30.42
1150,111.50,30.46
1151,111.51,30.49
1152,111.52,30.53
1153,111.53,30.57
1154,111.54,30.60
1155,111.55,30.64
1156,111.56,30.67
1157,111.57,30.71
1158,111.58,30.75
1159,111.59,30.78
1160,111.60,30.82
1161,111.61,30.86
1162,111.62,30.89
1163,111.63,30.93
1164,111.64,30.97
1165,111.65,31.00
1166,111.66,31.04
1167,111.67,31.08
1168,111.68,31.11
1169,111.69,31.15
1170,111.70,31.18
1171,111.71,31.22
1172,111.72,31.26
1173,111.73,31.29
1174,111.74,31.33
1175,111.75,31.37
1176,111.76,31.40
1177,111.77,31.44
1178,111.78,31.48
1179,111.79,31.51
1180,111.80,31.55
1181,111.81,31.59
1182,111.82,31.62
1183,111.83,31.66
1184,111.84,31.69
1185,111.85,31.73
1186,111.86,31.77
1187,111.87,31.80
1188,111.88,31.84
1189,111.89,31.88
1190,111.90,31.91
1191,111.91,31.95
1192,111.92,31.99
1193,111.93,32.02
1194,111.94,32.06
1195,111.95,32.10
1196,111.96,32.13
1197,111.97,32.17
1198,111.98,32.21
1199,111.99,32.24
1200,112.00,32.28
1201,112.01,32.31
1202,112.02,32.35
1203,112.03,32.39
1204,112.04,32.42
1205,112.05,32.46
1206,112.06,32.50
1207,112.07,32.53
1208,112.08,32.57
1209,112.09,32.61
1210,112.10,32.64
1211,112.11,32.68
1212,112.12,32.72
1213,112.13,32.75
1214,112.14,32.79
1215,112.15,32.82
1216,112.16,32.86
1217,112.17,32.90
1218,112.18,32.93
1219,112.19,32.97
1220,112.20,33.01
1221,112.21,33.04
1222,112.22,33.08
1223,112.23,33.12
1224,112.24,33.15
1225,112.25,33.19
1226,112.26,33.23
1227,112.27,33.26
1228,112.28,33.30
1229,112.29,33.33
1230,112.30,33.37
1231,112.31,33.41
1232,112.32,33.44
1233,112.33,33.48
